id_postulante,correo,num_telefono,nombres,apellidos,nota_postulacion,opcion_1,politica_cuotas,vulnerable,cuadro_honor,pueblo_nacionalidad,titulo_superior
P0282,lucia282@mail.com,0918498052,Lucia,Vera,928,ME1,SI,NO,NO,NO,NO
P0283,carlos283@mail.com,0991947474,Carlos,Castro,981,IS3,NO,NO,NO,NO,NO
P0284,maria284@mail.com,0944375295,Maria,Castro,999,EC1,NO,SI,NO,NO,NO
P0285,carlos285@mail.com,0961127090,Carlos,Torres,993,PS1,NO,NO,NO,SI,SI
P0286,miguel286@mail.com,0938067879,Miguel,Garcia,967,IS3,NO,NO,NO,NO,NO
P0287,carlos287@mail.com,0923201638,Carlos,Gomez,715,IS2,NO,SI,NO,NO,NO
P0288,carlos288@mail.com,0967468600,Carlos,Zambrano,916,IS2,NO,SI,NO,NO,NO
P0289,juan289@mail.com,0960185931,Juan,Castro,823,IS3,NO,SI,NO,NO,NO
P0290,luis290@mail.com,0924952100,Luis,Garcia,945,CO1,NO,NO,NO,NO,NO
P0291,maria291@mail.com,0946022103,Maria,Lopez,732,PS1,NO,NO,SI,NO,NO
P0292,rosa292@mail.com,0975357335,Rosa,Perez,854,IN1,NO,NO,NO,NO,NO
P0293,rosa293@mail.com,0944011959,Rosa,Vera,840,CO1,NO,NO,NO,NO,NO
P0294,rosa294@mail.com,0959976147,Rosa,Mendoza,910,EC1,NO,NO,NO,NO,NO
P0295,miguel295@mail.com,0911936277,Miguel,Zambrano,913,EN1,SI,NO,NO,NO,NO
P0296,rosa296@mail.com,0978005987,Rosa,Torres,952,ME1,NO,NO,NO,NO,NO
P0297,lucia297@mail.com,0932888397,Lucia,Castro,709,IN1,NO,NO,NO,NO,NO
P0298,miguel298@mail.com,0956731008,Miguel,Lopez,945,EC1,NO,NO,NO,NO,NO
P0299,luis299@mail.com,0931447557,Luis,Garcia,905,MA1,NO,NO,NO,NO,NO
P0300,luis300@mail.com,0948575451,Luis,Perez,927,DE1,NO,NO,NO,SI,NO
P0301,pedro301@mail.com,0939185456,Pedro,Zambrano,924,IS3,SI,NO,NO,NO,NO
P0302,ana302@mail.com,0937163392,Ana,Mendoza,840,IS3,NO,NO,NO,NO,NO
P0303,luis303@mail.com,0998089264,Luis,Cedeño,814,MA1,NO,SI,SI,NO,NO
P0304,carlos304@mail.com,0939529859,Carlos,Mendoza,802,DE1,NO,NO,NO,NO,NO
P0305,luis305@mail.com,0956305824,Luis,Perez,772,IS3,NO,NO,NO,NO,NO
P0306,maria306@mail.com,0956199057,Maria,Vera,917,AD2,SI,NO,NO,NO,NO
P0307,miguel307@mail.com,0983789786,Miguel,Mendoza,908,DE1,NO,NO,NO,NO,NO
P0308,pedro308@mail.com,0976993489,Pedro,Mendoza,657,ME1,NO,NO,NO,NO,NO
P0309,maria309@mail.com,0937870463,Maria,Zambrano,931,IS1,NO,NO,NO,NO,NO
P0310,carlos310@mail.com,0949670630,Carlos,Vera,935,EN1,NO,NO,NO,NO,NO
P0311,carlos311@mail.com,0915784460,Carlos,Perez,929,AD2,NO,NO,NO,NO,NO
P0312,sofia312@mail.com,0993009641,Sofia,Lopez,742,EC1,NO,NO,NO,NO,NO
P0313,luis313@mail.com,0933216037,Luis,Castro,697,PS1,NO,NO,NO,NO,NO
P0314,juan314@mail.com,0993158722,Juan,Lopez,876,EN1,SI,NO,SI,NO,NO
P0315,miguel315@mail.com,0981452576,Miguel,Gomez,854,AR1,NO,NO,NO,NO,NO
P0316,lucia316@mail.com,0983729293,Lucia,Cedeño,909,AD2,SI,NO,NO,NO,NO
P0317,pedro317@mail.com,0928576980,Pedro,Vera,731,IS1,SI,SI,NO,NO,NO
P0318,pedro318@mail.com,0921398526,Pedro,Mendoza,716,AD1,NO,NO,NO,NO,NO
P0319,lucia319@mail.com,0932601236,Lucia,Garcia,769,EN1,NO,NO,NO,NO,NO
P0320,carlos320@mail.com,0924642545,Carlos,Zambrano,684,CO1,NO,NO,NO,NO,NO
P0321,miguel321@mail.com,0941662155,Miguel,Perez,870,IN1,NO,NO,NO,NO,NO
P0322,miguel322@mail.com,0946063227,Miguel,Vera,778,MA1,NO,SI,NO,NO,NO
P0323,luis323@mail.com,0931099045,Luis,Castro,860,CO1,SI,NO,NO,NO,NO
P0324,maria324@mail.com,0950550462,Maria,Cedeño,979,EC1,NO,NO,SI,NO,NO
P0325,sofia325@mail.com,0937077993,Sofia,Zambrano,998,IS1,NO,NO,NO,NO,NO
P0326,maria326@mail.com,0994560496,Maria,Mendoza,850,AD1,NO,NO,NO,NO,NO
P0327,miguel327@mail.com,0948660793,Miguel,Torres,738,DE1,NO,NO,SI,NO,NO
P0328,carlos328@mail.com,0921077991,Carlos,Perez,753,IS1,NO,NO,SI,NO,NO
P0329,juan329@mail.com,0919607844,Juan,Vera,998,IS1,NO,NO,SI,NO,NO
P0330,luis330@mail.com,0947733718,Luis,Vera,895,MA1,NO,NO,NO,NO,NO
P0331,luis331@mail.com,0996815252,Luis,Zambrano,974,EN1,NO,NO,NO,NO,NO
P0332,luis332@mail.com,0955542135,Luis,Vera,760,AD2,SI,NO,NO,NO,NO
P0333,luis333@mail.com,0957737379,Luis,Cedeño,700,CO2,NO,NO,SI,NO,NO
P0334,ana334@mail.com,0923183488,Ana,Vera,979,AD2,NO,NO,NO,NO,NO
P0335,luis335@mail.com,0978403547,Luis,Perez,721,AR1,NO,NO,NO,NO,NO
P0336,miguel336@mail.com,0968195837,Miguel,Vera,863,IS1,NO,SI,NO,SI,NO
P0337,carlos337@mail.com,0995795134,Carlos,Mendoza,910,CO1,SI,NO,NO,NO,NO
P0338,miguel338@mail.com,0973428969,Miguel,Castro,859,IN1,NO,NO,NO,NO,NO
P0339,juan339@mail.com,0948363244,Juan,Perez,719,AD1,NO,NO,NO,NO,NO
P0340,lucia340@mail.com,0970370736,Lucia,Torres,655,AD1,NO,NO,NO,NO,NO
P0341,miguel341@mail.com,0919133084,Miguel,Gomez,829,PS1,NO,SI,NO,NO,NO
P0342,ana342@mail.com,0976975541,Ana,Perez,807,AD2,NO,NO,NO,NO,NO
P0343,maria343@mail.com,0954366618,Maria,Torres,698,AD1,NO,NO,NO,NO,NO
P0344,rosa344@mail.com,0912776741,Rosa,Vera,956,PS1,NO,NO,NO,NO,NO
P0345,lucia345@mail.com,0968875280,Lucia,Cedeño,678,AR1,NO,NO,NO,NO,NO
P0346,pedro346@mail.com,0928836632,Pedro,Zambrano,928,DE1,NO,NO,NO,NO,NO
P0347,lucia347@mail.com,0946408956,Lucia,Castro,739,IS3,NO,NO,NO,NO,NO
P0348,rosa348@mail.com,0948180987,Rosa,Lopez,938,AD1,NO,NO,NO,NO,NO
P0349,juan349@mail.com,0960120307,Juan,Garcia,978,EN1,NO,NO,NO,NO,NO
P0350,pedro350@mail.com,0979317028,Pedro,Castro,951,EC1,SI,NO,SI,NO,NO
P0351,lucia351@mail.com,0922685537,Lucia,Perez,887,AD2,NO,NO,NO,NO,NO
P0352,maria352@mail.com,0936447161,Maria,Zambrano,894,PS1,SI,NO,NO,NO,NO
P0353,sofia353@mail.com,0915763230,Sofia,Torres,816,EN1,NO,NO,NO,NO,NO
P0354,miguel354@mail.com,0966297842,Miguel,Mendoza,993,CO2,NO,NO,NO,NO,NO
P0355,pedro355@mail.com,0993200408,Pedro,Garcia,888,ME1,NO,NO,NO,NO,NO
P0356,pedro356@mail.com,0944209210,Pedro,Castro,972,DE1,NO,NO,NO,NO,NO
P0357,luis357@mail.com,0968238507,Luis,Perez,700,IN1,NO,NO,NO,NO,SI
P0358,maria358@mail.com,0978885817,Maria,Lopez,841,IS1,NO,NO,SI,NO,NO
P0359,luis359@mail.com,0935809448,Luis,Mendoza,668,ME1,NO,NO,NO,NO,NO
P0360,pedro360@mail.com,0915662968,Pedro,Mendoza,882,IS3,NO,NO,SI,NO,NO
P0361,ana361@mail.com,0996128521,Ana,Perez,753,CO2,NO,SI,NO,NO,NO
P0362,miguel362@mail.com,0917579049,Miguel,Gomez,943,AR1,NO,NO,NO,NO,NO
P0363,ana363@mail.com,0931165845,Ana,Torres,971,PS1,NO,NO,NO,NO,NO
P0364,juan364@mail.com,0991826117,Juan,Lopez,996,MA1,NO,NO,NO,NO,NO
P0365,lucia365@mail.com,0913916407,Lucia,Torres,969,IN1,NO,NO,SI,NO,NO
P0366,carlos366@mail.com,0974925205,Carlos,Mendoza,832,PS1,NO,NO,SI,NO,NO
P0367,maria367@mail.com,0992333317,Maria,Garcia,713,AR1,NO,SI,NO,NO,NO
P0368,rosa368@mail.com,0949380834,Rosa,Castro,820,MA1,NO,NO,NO,NO,NO
P0369,maria369@mail.com,0994311486,Maria,Garcia,700,AD1,NO,NO,NO,NO,NO
P0370,luis370@mail.com,0950779413,Luis,Cedeño,935,PS1,NO,NO,NO,NO,NO
P0371,miguel371@mail.com,0928009604,Miguel,Vera,657,EN1,NO,NO,NO,NO,NO
P0372,ana372@mail.com,0968688226,Ana,Mendoza,938,DE1,NO,NO,NO,NO,NO
P0373,carlos373@mail.com,0983436182,Carlos,Castro,784,IS2,NO,SI,NO,NO,NO
P0374,lucia374@mail.com,0985666662,Lucia,Gomez,717,ME1,NO,NO,NO,NO,NO
P0375,rosa375@mail.com,0980026832,Rosa,Lopez,845,ME1,NO,SI,NO,SI,NO
P0376,carlos376@mail.com,0916688736,Carlos,Garcia,761,EC1,NO,NO,SI,NO,NO
P0377,rosa377@mail.com,0965020560,Rosa,Lopez,692,DE1,NO,NO,NO,NO,NO
P0378,ana378@mail.com,0958551296,Ana,Gomez,925,IS1,NO,NO,SI,NO,NO
P0379,maria379@mail.com,0929982369,Maria,Vera,727,IS1,SI,NO,NO,NO,NO
P0380,luis380@mail.com,0987224413,Luis,Mendoza,671,IN1,NO,NO,NO,NO,NO
P0381,rosa381@mail.com,0972331194,Rosa,Garcia,721,MA1,NO,NO,NO,NO,NO
P0382,ana382@mail.com,0911366694,Ana,Torres,751,ME1,NO,NO,NO,NO,NO
P0383,carlos383@mail.com,0975411232,Carlos,Castro,707,PS1,SI,NO,NO,NO,NO
P0384,carlos384@mail.com,0952499716,Carlos,Zambrano,783,IS1,NO,NO,NO,NO,NO
P0385,sofia385@mail.com,0915031587,Sofia,Perez,718,AR1,NO,NO,NO,NO,NO
P0386,maria386@mail.com,0988287338,Maria,Castro,672,EC1,NO,NO,NO,NO,SI
P0387,juan387@mail.com,0992409145,Juan,Castro,781,CO2,NO,NO,NO,NO,NO
P0388,rosa388@mail.com,0943850345,Rosa,Garcia,796,MA1,NO,NO,NO,NO,NO
P0389,carlos389@mail.com,0918287498,Carlos,Vera,775,CO1,NO,NO,NO,NO,NO
P0390,rosa390@mail.com,0997293523,Rosa,Torres,784,CO2,NO,NO,NO,NO,NO
P0391,lucia391@mail.com,0971384641,Lucia,Zambrano,700,AR1,NO,SI,NO,NO,NO
P0392,ana392@mail.com,0926547669,Ana,Lopez,809,AR1,NO,NO,NO,NO,NO
P0393,lucia393@mail.com,0928241789,Lucia,Zambrano,744,EC1,NO,SI,NO,NO,NO
P0394,sofia394@mail.com,0999027151,Sofia,Garcia,707,AD1,NO,NO,NO,NO,NO
P0395,pedro395@mail.com,0960268346,Pedro,Torres,727,DE1,SI,NO,NO,NO,NO
P0396,pedro396@mail.com,0940483038,Pedro,Gomez,916,AR1,NO,SI,NO,NO,NO
P0397,rosa397@mail.com,0968723860,Rosa,Vera,657,MA1,NO,NO,NO,NO,NO
P0398,pedro398@mail.com,0922723596,Pedro,Garcia,844,EC1,SI,NO,NO,NO,NO
P0399,luis399@mail.com,0936269779,Luis,Gomez,901,CO1,NO,NO,NO,NO,NO
P0400,luis400@mail.com,0965106372,Luis,Torres,856,AD2,NO,NO,NO,NO,NO
P0401,rosa401@mail.com,0928060571,Rosa,Mendoza,945,IS1,NO,NO,NO,NO,NO
P0402,luis402@mail.com,0977328032,Luis,Zambrano,798,AD2,NO,NO,NO,NO,NO
P0403,juan403@mail.com,0923726737,Juan,Perez,961,IS3,SI,NO,NO,NO,NO
P0404,juan404@mail.com,0950771325,Juan,Torres,869,AR1,NO,SI,NO,NO,NO
P0405,sofia405@mail.com,0995153767,Sofia,Gomez,663,AD2,NO,NO,NO,NO,NO
P0406,lucia406@mail.com,0943878002,Lucia,Garcia,686,AD2,NO,NO,NO,NO,NO
P0407,ana407@mail.com,0946931216,Ana,Castro,924,IN1,NO,NO,NO,NO,NO
P0408,lucia408@mail.com,0988130801,Lucia,Cedeño,891,PS1,NO,NO,NO,NO,NO
P0409,maria409@mail.com,0976326982,Maria,Vera,962,AR1,NO,NO,NO,NO,NO
P0410,rosa410@mail.com,0914874327,Rosa,Gomez,681,DE1,NO,NO,NO,NO,NO
P0411,sofia411@mail.com,0949390102,Sofia,Garcia,892,AD1,NO,NO,NO,NO,NO
P0412,lucia412@mail.com,0941959871,Lucia,Mendoza,724,IS3,NO,NO,NO,NO,NO
P0413,ana413@mail.com,0910058886,Ana,Zambrano,961,IS1,NO,NO,NO,SI,NO
P0414,lucia414@mail.com,0982489491,Lucia,Mendoza,654,CO1,NO,NO,NO,NO,SI
P0415,lucia415@mail.com,0991703994,Lucia,Perez,895,AD2,NO,NO,NO,NO,SI
P0416,juan416@mail.com,0930135460,Juan,Torres,873,AD1,NO,NO,NO,NO,NO
P0417,rosa417@mail.com,0967410787,Rosa,Perez,899,ME1,NO,NO,NO,NO,NO
P0418,maria418@mail.com,0988114865,Maria,Mendoza,666,AD1,NO,NO,NO,NO,NO
P0419,ana419@mail.com,0968338372,Ana,Castro,727,EN1,NO,NO,NO,NO,NO
P0420,pedro420@mail.com,0964721683,Pedro,Gomez,699,IS3,NO,SI,NO,NO,NO
P0421,maria421@mail.com,0929618650,Maria,Mendoza,779,AD1,NO,NO,NO,NO,NO
P0422,maria422@mail.com,0910087403,Maria,Gomez,866,IS2,SI,NO,NO,NO,NO
P0423,sofia423@mail.com,0987366377,Sofia,Gomez,984,AD1,NO,NO,SI,NO,NO
P0424,luis424@mail.com,0988158243,Luis,Castro,948,CO2,SI,NO,NO,SI,SI
P0425,pedro425@mail.com,0928770800,Pedro,Cedeño,693,CO2,NO,NO,NO,NO,NO
P0426,rosa426@mail.com,0993374544,Rosa,Torres,787,PS1,NO,NO,NO,NO,NO
P0427,rosa427@mail.com,0978901114,Rosa,Vera,757,PS1,SI,NO,NO,NO,NO
P0428,juan428@mail.com,0916568493,Juan,Perez,956,IN1,NO,NO,NO,NO,NO
P0429,maria429@mail.com,0923685608,Maria,Mendoza,998,PS1,NO,NO,NO,NO,NO
P0430,miguel430@mail.com,0917589411,Miguel,Cedeño,807,AD2,NO,NO,NO,NO,NO
P0431,juan431@mail.com,0932405416,Juan,Perez,796,PS1,NO,NO,NO,NO,NO
P0432,maria432@mail.com,0969772172,Maria,Mendoza,998,IN1,NO,NO,NO,NO,NO
P0433,maria433@mail.com,0922369106,Maria,Perez,825,EN1,NO,NO,NO,NO,NO
P0434,carlos434@mail.com,0998828735,Carlos,Cedeño,823,AD2,NO,NO,NO,NO,NO
P0435,juan435@mail.com,0924053235,Juan,Lopez,747,AR1,NO,NO,NO,NO,NO
P0436,ana436@mail.com,0974696229,Ana,Castro,895,EN1,NO,SI,NO,NO,NO
P0437,sofia437@mail.com,0957695395,Sofia,Mendoza,875,EN1,SI,NO,NO,NO,NO
P0438,juan438@mail.com,0912970871,Juan,Cedeño,991,AD2,NO,NO,NO,SI,NO
P0439,rosa439@mail.com,0993845343,Rosa,Gomez,950,IS3,NO,NO,NO,NO,NO
P0440,miguel440@mail.com,0960276663,Miguel,Garcia,845,AD2,NO,NO,SI,NO,NO
P0441,juan441@mail.com,0992518358,Juan,Perez,736,AD1,NO,NO,NO,NO,NO
P0442,lucia442@mail.com,0929771839,Lucia,Gomez,954,MA1,NO,NO,SI,SI,NO
P0443,carlos443@mail.com,0927379698,Carlos,Lopez,885,MA1,NO,NO,NO,NO,NO
P0444,luis444@mail.com,0993678778,Luis,Lopez,923,IS1,NO,NO,NO,NO,NO
P0445,miguel445@mail.com,0972058811,Miguel,Torres,674,EC1,NO,NO,NO,NO,NO
P0446,lucia446@mail.com,0995306012,Lucia,Zambrano,838,MA1,NO,NO,NO,NO,NO
P0447,miguel447@mail.com,0983619631,Miguel,Zambrano,894,IS3,NO,NO,NO,NO,NO
P0448,maria448@mail.com,0950484119,Maria,Vera,881,EC1,NO,NO,NO,SI,NO
P0449,miguel449@mail.com,0966978145,Miguel,Gomez,692,CO1,NO,SI,NO,NO,NO
P0450,sofia450@mail.com,0988666660,Sofia,Gomez,988,IN1,SI,NO,NO,NO,NO
P0451,maria451@mail.com,0947223040,Maria,Perez,688,IS2,NO,NO,NO,NO,NO
P0452,luis452@mail.com,0969024181,Luis,Mendoza,698,PS1,NO,NO,NO,NO,NO
P0453,ana453@mail.com,0973025194,Ana,Perez,809,MA1,NO,NO,NO,NO,NO
P0454,ana454@mail.com,0965212418,Ana,Gomez,864,IS2,NO,SI,NO,NO,NO
P0455,rosa455@mail.com,0982086639,Rosa,Gomez,989,CO1,NO,SI,NO,NO,NO
P0456,carlos456@mail.com,0945736033,Carlos,Zambrano,687,AD2,NO,NO,NO,NO,NO
P0457,carlos457@mail.com,0978590765,Carlos,Garcia,713,AD1,NO,NO,NO,NO,NO
P0458,pedro458@mail.com,0930394464,Pedro,Lopez,992,IS1,NO,NO,NO,NO,NO
P0459,pedro459@mail.com,0940182849,Pedro,Perez,675,CO1,NO,NO,NO,NO,NO
P0460,maria460@mail.com,0953560296,Maria,Gomez,836,CO2,NO,NO,NO,NO,NO
P0461,pedro461@mail.com,0969193831,Pedro,Cedeño,872,EN1,SI,NO,SI,NO,NO
P0462,carlos462@mail.com,0924029731,Carlos,Mendoza,694,IS1,NO,NO,NO,NO,NO
P0463,maria463@mail.com,0948733664,Maria,Castro,652,CO1,SI,NO,NO,SI,SI
P0464,lucia464@mail.com,0962329198,Lucia,Perez,923,CO1,NO,NO,NO,NO,NO
P0465,carlos465@mail.com,0978236863,Carlos,Vera,660,CO2,NO,NO,NO,NO,NO
P0466,carlos466@mail.com,0923363171,Carlos,Garcia,712,CO2,NO,NO,NO,NO,NO
P0467,carlos467@mail.com,0950245792,Carlos,Torres,723,IS3,NO,NO,NO,SI,NO
P0468,ana468@mail.com,0997806234,Ana,Lopez,949,IS3,NO,NO,SI,NO,NO
P0469,miguel469@mail.com,0949528089,Miguel,Castro,776,AD2,NO,NO,NO,NO,NO
P0470,luis470@mail.com,0930280271,Luis,Zambrano,922,PS1,NO,NO,NO,NO,NO
P0471,sofia471@mail.com,0924230221,Sofia,Torres,774,PS1,NO,SI,NO,NO,NO
P0472,rosa472@mail.com,0949930921,Rosa,Castro,761,MA1,SI,NO,NO,NO,NO
P0473,rosa473@mail.com,0977556228,Rosa,Lopez,788,IS1,NO,NO,NO,NO,NO
P0474,lucia474@mail.com,0937773771,Lucia,Zambrano,923,IS2,NO,NO,SI,NO,NO
P0475,luis475@mail.com,0976081417,Luis,Zambrano,664,AD1,NO,NO,NO,SI,NO
P0476,miguel476@mail.com,0911538703,Miguel,Cedeño,854,CO1,NO,NO,NO,NO,NO
P0477,lucia477@mail.com,0913223607,Lucia,Torres,822,IN1,NO,NO,NO,NO,NO
P0478,pedro478@mail.com,0924245312,Pedro,Lopez,864,EC1,NO,SI,NO,NO,NO
P0479,carlos479@mail.com,0987979212,Carlos,Vera,821,ME1,NO,NO,NO,NO,NO
P0480,carlos480@mail.com,0979929569,Carlos,Torres,952,PS1,NO,NO,NO,NO,NO
P0481,sofia481@mail.com,0925052305,Sofia,Castro,751,AR1,NO,NO,NO,NO,NO
P0482,maria482@mail.com,0924586117,Maria,Cedeño,650,CO1,NO,NO,NO,NO,NO
P0483,maria483@mail.com,0989467354,Maria,Mendoza,968,AD2,NO,NO,NO,NO,NO
P0484,luis484@mail.com,0957902175,Luis,Gomez,721,IS3,NO,NO,NO,NO,NO
P0485,juan485@mail.com,0939688248,Juan,Gomez,914,AR1,NO,NO,NO,NO,NO
P0486,luis486@mail.com,0970906641,Luis,Lopez,980,IN1,NO,NO,NO,NO,NO
P0487,carlos487@mail.com,0975416227,Carlos,Zambrano,926,EN1,NO,NO,NO,NO,NO
P0488,luis488@mail.com,0987414145,Luis,Gomez,983,EC1,NO,NO,NO,NO,NO
P0489,juan489@mail.com,0947813394,Juan,Mendoza,949,IS2,SI,NO,NO,NO,NO
P0490,sofia490@mail.com,0918997749,Sofia,Gomez,900,IN1,NO,NO,NO,NO,NO
P0491,juan491@mail.com,0930063451,Juan,Castro,786,ME1,NO,NO,NO,NO,NO
P0492,lucia492@mail.com,0934805069,Lucia,Lopez,908,IS3,NO,NO,NO,NO,NO
P0493,sofia493@mail.com,0922303861,Sofia,Castro,791,AD2,NO,NO,NO,NO,NO
P0494,juan494@mail.com,0913481224,Juan,Lopez,754,ME1,NO,SI,NO,NO,NO
P0495,carlos495@mail.com,0990438495,Carlos,Gomez,984,EN1,NO,NO,SI,NO,SI
P0496,maria496@mail.com,0996622604,Maria,Cedeño,804,IS3,NO,NO,NO,NO,NO
P0497,juan497@mail.com,0943505083,Juan,Garcia,934,AR1,NO,NO,NO,NO,NO
P0498,sofia498@mail.com,0960282053,Sofia,Gomez,700,AD2,NO,NO,NO,NO,NO
P0499,carlos499@mail.com,0924273688,Carlos,Vera,867,IS2,NO,NO,NO,NO,NO
P0500,miguel500@mail.com,0940377789,Miguel,Castro,761,ME1,NO,NO,SI,NO,NO
P0501,carlos501@mail.com,0935650738,Carlos,Gomez,904,IS3,NO,NO,NO,SI,NO
P0502,maria502@mail.com,0958093046,Maria,Zambrano,983,AD1,NO,SI,NO,NO,NO
P0503,miguel503@mail.com,0913087657,Miguel,Perez,966,IN1,NO,NO,SI,NO,NO
P0504,maria504@mail.com,0994689604,Maria,Castro,785,AD2,NO,NO,NO,NO,NO
P0505,ana505@mail.com,0998298427,Ana,Perez,734,EN1,SI,NO,NO,NO,NO
P0506,carlos506@mail.com,0913713926,Carlos,Vera,916,AD2,NO,SI,NO,NO,NO
P0507,lucia507@mail.com,0992714997,Lucia,Garcia,995,AD1,NO,NO,NO,NO,NO
P0508,miguel508@mail.com,0994235591,Miguel,Cedeño,650,ME1,NO,NO,NO,NO,NO
P0509,maria509@mail.com,0936590652,Maria,Perez,959,AR1,NO,NO,NO,NO,NO
P0510,juan510@mail.com,0920785081,Juan,Torres,702,CO2,NO,NO,NO,NO,NO
P0511,pedro511@mail.com,0948631691,Pedro,Perez,998,AD1,NO,NO,NO,NO,NO
P0512,carlos512@mail.com,0920368649,Carlos,Cedeño,821,AD1,NO,NO,NO,NO,NO
P0513,juan513@mail.com,0935383814,Juan,Perez,669,CO2,NO,NO,NO,NO,NO
P0514,miguel514@mail.com,0968438486,Miguel,Castro,961,PS1,NO,NO,NO,NO,NO
P0515,lucia515@mail.com,0983940138,Lucia,Mendoza,866,DE1,NO,NO,NO,NO,NO
P0516,rosa516@mail.com,0959442932,Rosa,Perez,676,IS2,NO,NO,NO,NO,NO
P0517,luis517@mail.com,0943298734,Luis,Torres,785,AD2,NO,NO,NO,NO,SI
P0518,ana518@mail.com,0961744586,Ana,Vera,786,AD1,NO,NO,NO,NO,NO
P0519,sofia519@mail.com,0926066641,Sofia,Castro,777,MA1,NO,NO,NO,NO,NO
P0520,rosa520@mail.com,0962502259,Rosa,Perez,985,AR1,NO,NO,NO,NO,NO
P0521,rosa521@mail.com,0969573573,Rosa,Perez,668,AD2,NO,NO,NO,NO,NO
P0522,lucia522@mail.com,0962286143,Lucia,Perez,675,CO1,NO,NO,NO,NO,NO
P0523,sofia523@mail.com,0932545220,Sofia,Mendoza,994,AR1,NO,NO,NO,NO,NO
P0524,miguel524@mail.com,0972300426,Miguel,Castro,784,IS1,SI,NO,NO,NO,NO
P0525,miguel525@mail.com,0937596197,Miguel,Vera,966,ME1,NO,NO,NO,NO,NO
P0526,carlos526@mail.com,0916553602,Carlos,Cedeño,705,IN1,NO,NO,NO,NO,NO
P0527,carlos527@mail.com,0924110755,Carlos,Garcia,738,AD2,NO,NO,NO,NO,NO
P0528,ana528@mail.com,0915616755,Ana,Perez,760,IS3,NO,NO,NO,SI,NO
P0529,pedro529@mail.com,0940866531,Pedro,Zambrano,709,AD2,NO,NO,NO,NO,NO
P0530,sofia530@mail.com,0997416843,Sofia,Zambrano,807,AD1,NO,NO,NO,NO,NO
P0531,maria531@mail.com,0987918422,Maria,Cedeño,844,AD2,NO,NO,NO,NO,NO
P0532,carlos532@mail.com,0989887926,Carlos,Torres,968,EC1,NO,NO,NO,NO,SI
P0533,lucia533@mail.com,0931284172,Lucia,Gomez,734,IS3,NO,NO,NO,NO,NO
P0534,maria534@mail.com,0994339930,Maria,Garcia,869,PS1,NO,SI,NO,NO,NO
P0535,maria535@mail.com,0921238793,Maria,Garcia,869,AD1,NO,NO,NO,NO,NO
P0536,sofia536@mail.com,0927941657,Sofia,Torres,921,EN1,NO,NO,NO,NO,NO
P0537,rosa537@mail.com,0923359380,Rosa,Perez,884,CO1,NO,NO,NO,NO,NO
P0538,rosa538@mail.com,0992011786,Rosa,Castro,681,ME1,NO,NO,NO,NO,SI
P0539,lucia539@mail.com,0944682387,Lucia,Zambrano,880,AD2,NO,NO,NO,NO,NO
P0540,carlos540@mail.com,0915891481,Carlos,Mendoza,684,CO2,NO,NO,NO,SI,NO
P0541,maria541@mail.com,0995429903,Maria,Perez,989,DE1,NO,NO,NO,NO,NO
P0542,luis542@mail.com,0990817463,Luis,Cedeño,993,CO1,NO,NO,NO,NO,NO
P0543,miguel543@mail.com,0951495813,Miguel,Mendoza,744,PS1,NO,NO,NO,NO,NO
P0544,juan544@mail.com,0922570804,Juan,Cedeño,980,IS3,SI,NO,NO,NO,NO
P0545,ana545@mail.com,0960945501,Ana,Castro,795,IS2,NO,NO,NO,SI,NO
P0546,lucia546@mail.com,0946214643,Lucia,Lopez,767,EC1,NO,NO,NO,SI,NO
P0547,sofia547@mail.com,0987765160,Sofia,Gomez,673,IS2,NO,NO,NO,NO,NO
P0548,miguel548@mail.com,0969400437,Miguel,Gomez,854,PS1,NO,NO,SI,NO,NO
P0549,juan549@mail.com,0985533539,Juan,Vera,746,AR1,NO,NO,NO,NO,NO
P0550,pedro550@mail.com,0970359109,Pedro,Mendoza,930,AR1,NO,SI,NO,NO,NO
P0551,ana551@mail.com,0991693687,Ana,Torres,982,MA1,NO,NO,NO,NO,NO
P0552,miguel552@mail.com,0943484547,Miguel,Cedeño,688,ME1,NO,NO,NO,NO,NO
P0553,ana553@mail.com,0960195762,Ana,Vera,752,PS1,NO,NO,NO,NO,NO
P0554,ana554@mail.com,0970527547,Ana,Mendoza,713,AD1,NO,NO,NO,NO,NO
P0555,juan555@mail.com,0984359777,Juan,Torres,970,MA1,NO,NO,NO,NO,NO
P0556,rosa556@mail.com,0989554856,Rosa,Mendoza,728,ME1,NO,NO,NO,NO,NO
P0557,juan557@mail.com,0976817599,Juan,Garcia,823,PS1,SI,NO,SI,NO,SI
P0558,rosa558@mail.com,0962969736,Rosa,Zambrano,831,IN1,NO,NO,NO,NO,NO
P0559,lucia559@mail.com,0967996451,Lucia,Perez,833,PS1,NO,NO,NO,NO,NO
P0560,lucia560@mail.com,0925340998,Lucia,Castro,992,IN1,NO,NO,NO,NO,NO
P0561,miguel561@mail.com,0933723279,Miguel,Torres,866,IS2,NO,NO,NO,NO,NO
P0562,maria562@mail.com,0938584386,Maria,Cedeño,718,IS1,NO,SI,SI,NO,NO
P0563,sofia563@mail.com,0992022985,Sofia,Vera,759,IN1,NO,NO,NO,NO,NO
P0564,carlos564@mail.com,0985924336,Carlos,Zambrano,677,ME1,NO,NO,NO,NO,NO
